-18,lane_left/lane_left0.png,lane_middle/lane_middle0,lane_right/lane_right0.png
-10,lane_left/lane_left1.png,lane_middle/lane_middle1,lane_right/lane_right1.png
-31,lane_left/lane_left2.png,lane_middle/lane_middle2,lane_right/lane_right2.png
-10,lane_left/lane_left3.png,lane_middle/lane_middle3,lane_right/lane_right3.png
2,lane_left/lane_left4.png,lane_middle/lane_middle4,lane_right/lane_right4.png
0,lane_left/lane_left5.png,lane_middle/lane_middle5,lane_right/lane_right5.png
7,lane_left/lane_left6.png,lane_middle/lane_middle6,lane_right/lane_right6.png
-6,lane_left/lane_left7.png,lane_middle/lane_middle7,lane_right/lane_right7.png
6,lane_left/lane_left8.png,lane_middle/lane_middle8,lane_right/lane_right8.png
-3,lane_left/lane_left9.png,lane_middle/lane_middle9,lane_right/lane_right9.png
0,lane_left/lane_left10.png,lane_middle/lane_middle10,lane_right/lane_right10.png
-9,lane_left/lane_left11.png,lane_middle/lane_middle11,lane_right/lane_right11.png
-7,lane_left/lane_left12.png,lane_middle/lane_middle12,lane_right/lane_right12.png
-6,lane_left/lane_left13.png,lane_middle/lane_middle13,lane_right/lane_right13.png
11,lane_left/lane_left14.png,lane_middle/lane_middle14,lane_right/lane_right14.png
-10,lane_left/lane_left15.png,lane_middle/lane_middle15,lane_right/lane_right15.png
-23,lane_left/lane_left16.png,lane_middle/lane_middle16,lane_right/lane_right16.png
-5,lane_left/lane_left17.png,lane_middle/lane_middle17,lane_right/lane_right17.png
-3,lane_left/lane_left18.png,lane_middle/lane_middle18,lane_right/lane_right18.png
-7,lane_left/lane_left19.png,lane_middle/lane_middle19,lane_right/lane_right19.png
-22,lane_left/lane_left20.png,lane_middle/lane_middle20,lane_right/lane_right20.png
-5,lane_left/lane_left21.png,lane_middle/lane_middle21,lane_right/lane_right21.png
0,lane_left/lane_left22.png,lane_middle/lane_middle22,lane_right/lane_right22.png
-16,lane_left/lane_left23.png,lane_middle/lane_middle23,lane_right/lane_right23.png
-8,lane_left/lane_left24.png,lane_middle/lane_middle24,lane_right/lane_right24.png
-10,lane_left/lane_left25.png,lane_middle/lane_middle25,lane_right/lane_right25.png
-7,lane_left/lane_left26.png,lane_middle/lane_middle26,lane_right/lane_right26.png
24,lane_left/lane_left27.png,lane_middle/lane_middle27,lane_right/lane_right27.png
-26,lane_left/lane_left28.png,lane_middle/lane_middle28,lane_right/lane_right28.png
-28,lane_left/lane_left29.png,lane_middle/lane_middle29,lane_right/lane_right29.png
5,lane_left/lane_left30.png,lane_middle/lane_middle30,lane_right/lane_right30.png
-31,lane_left/lane_left31.png,lane_middle/lane_middle31,lane_right/lane_right31.png
-8,lane_left/lane_left32.png,lane_middle/lane_middle32,lane_right/lane_right32.png
-15,lane_left/lane_left33.png,lane_middle/lane_middle33,lane_right/lane_right33.png
-10,lane_left/lane_left34.png,lane_middle/lane_middle34,lane_right/lane_right34.png
-21,lane_left/lane_left35.png,lane_middle/lane_middle35,lane_right/lane_right35.png
